id,numero_plant,date_plantation,age_plant,longitude,latitude,suivi_biannuelle,altitude,zone_pedo,distance_a_mer_reel,commentaires,geom
1597,"RN 01613",2015-06-09,2,77.55,-37.8044,,155,16,0,,0104000020D70B00000100000001010000008B1B4540CDA856415A56A296C9023441
1598,"RN 01614",2015-06-09,2,77.55,-37.8044,,155,16,0,,0104000020D70B00000100000001010000008B1B4540CDA856415A56A296C9023441
1599,"RN 01615",2015-06-09,2,77.55,-37.8044,,155,16,0,,0104000020D70B00000100000001010000008B1B4540CDA856415A56A296C9023441
1600,"RN 01616",2015-06-09,2,77.55,-37.8043,,155,16,0,,0104000020D70B00000100000001010000001BE78484D0A856419DDF2379CC023441
1601,"RN 01617",2015-06-09,2,77.55,-37.8044,,155,16,0,,0104000020D70B00000100000001010000008B1B4540CDA856415A56A296C9023441
1602,"RN 01618",2015-06-09,2,77.55,-37.8043,,155,16,0,,0104000020D70B00000100000001010000001BE78484D0A856419DDF2379CC023441
1603,"RN 01619",2015-06-09,2,77.55,-37.8043,,155,16,0,,0104000020D70B00000100000001010000001BE78484D0A856419DDF2379CC023441
1604,"RN 01621",2015-06-09,2,77.55,-37.8043,,155,16,0,,0104000020D70B00000100000001010000001BE78484D0A856419DDF2379CC023441
1605,"RN 01622",2015-06-09,2,77.55,-37.8043,,155,16,0,,0104000020D70B00000100000001010000001BE78484D0A856419DDF2379CC023441
1606,"RN 01623",2015-06-09,2,77.55,-37.8044,,155,16,0,,0104000020D70B00000100000001010000008B1B4540CDA856415A56A296C9023441
1607,"RN 01624",2015-06-09,2,77.55,-37.8043,,155,16,0,,0104000020D70B00000100000001010000001BE78484D0A856419DDF2379CC023441
1608,"RN 01625",2015-06-09,2,77.55,-37.8043,,155,16,0,,0104000020D70B00000100000001010000001BE78484D0A856419DDF2379CC023441
1609,"RN 01626",2015-06-09,2,77.5501,-37.8043,,155,16,0,,0104000020D70B000001000000010100000017E70117D1A856414B5F1B1BC2023441
1610,"RN 01627",2015-06-09,2,77.5501,-37.8043,,155,16,0,,0104000020D70B000001000000010100000017E70117D1A856414B5F1B1BC2023441
1611,"RN 01628",2015-06-09,2,77.5498,-37.8046,,155,16,0,,0104000020D70B0000010000000101000000A7A8CB92C5A85641E8FCA68DD8023441
1612,"RN 01629",2015-06-09,2,77.55,-37.8042,,155,16,0,,0104000020D70B000001000000010100000063E0C4C8D3A856414191A55BCF023441
1613,"RN 01630",2015-06-09,2,77.5501,-37.8043,,155,16,0,,0104000020D70B000001000000010100000017E70117D1A856414B5F1B1BC2023441
1614,"RN 01631",2015-06-09,2,77.5501,-37.8043,,155,16,0,,0104000020D70B000001000000010100000017E70117D1A856414B5F1B1BC2023441
1615,"RN 01632",2015-06-09,2,77.5501,-37.8043,1,155,16,0,,0104000020D70B000001000000010100000017E70117D1A856414B5F1B1BC2023441
1616,"RN 01633",2015-06-09,2,77.5501,-37.8043,,155,16,0,,0104000020D70B000001000000010100000017E70117D1A856414B5F1B1BC2023441
1617,"RN 01634",2015-06-09,2,77.5501,-37.8043,,155,16,0,,0104000020D70B000001000000010100000017E70117D1A856414B5F1B1BC2023441
1618,"RN 01635",2015-06-09,2,77.5501,-37.8042,,155,16,0,,0104000020D70B00000100000001010000007EF5415BD4A8564153929BFDC4023441
1619,"RN 01636",2015-06-12,2,77.5501,-37.8043,,155,16,0,,0104000020D70B000001000000010100000017E70117D1A856414B5F1B1BC2023441
1620,"RN 01637",2015-06-12,2,77.5501,-37.8042,,155,16,0,,0104000020D70B00000100000001010000007EF5415BD4A8564153929BFDC4023441
1621,"RN 01638",2015-06-12,2,77.5501,-37.8042,,155,16,0,,0104000020D70B00000100000001010000007EF5415BD4A8564153929BFDC4023441
1622,"RN 01639",2015-06-12,2,77.5501,-37.8042,,155,16,0,,0104000020D70B00000100000001010000007EF5415BD4A8564153929BFDC4023441
1623,"RN 01640",2015-06-12,2,77.5501,-37.8042,,155,16,0,,0104000020D70B00000100000001010000007EF5415BD4A8564153929BFDC4023441
1624,"RN 01641",2015-06-12,2,77.5502,-37.8042,,155,16,0,,0104000020D70B0000010000000101000000B5BEBEEDD4A856415A50919FBA023441
1625,"RN 01642",2015-06-12,2,77.5501,-37.8042,,155,16,0,,0104000020D70B00000100000001010000007EF5415BD4A8564153929BFDC4023441
